level_2_text;level_2_index;source;type;comment;country;name;declared_unit;label_score
Ready mixed concrete;3;GFA-HEAT;generic;Created based on e3d7a045-ee91-43ac-8fb4-a5216c65ba0b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e3d7a045-ee91-43ac-8fb4-a5216c65ba0b);Thailand;Ready-mix concrete C20/25;m3;E
Ready mixed concrete;3;GFA-HEAT;generic;Created based on e3d7a045-ee91-43ac-8fb4-a5216c65ba0b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e3d7a045-ee91-43ac-8fb4-a5216c65ba0b);Vietnam;Ready-mix concrete C20/25;m3;D
Ready mixed concrete;3;GFA-HEAT;generic;Created based on a71e60a5-b64b-4715-ae8a-c8c8819149d2 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a71e60a5-b64b-4715-ae8a-c8c8819149d2);Cambodia;Ready-mix concrete C25/30;m3;G
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/d2ae1721-bb2a-4386-9d9f-abb1c774b0a8;official;;Germany;Ready-mix concrete C25/30;m3;D
Ready mixed concrete;3;GFA-HEAT;generic;Created based on a71e60a5-b64b-4715-ae8a-c8c8819149d2 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a71e60a5-b64b-4715-ae8a-c8c8819149d2);India;Ready-mix concrete C25/30;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on a71e60a5-b64b-4715-ae8a-c8c8819149d2 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a71e60a5-b64b-4715-ae8a-c8c8819149d2);Indonesia;Ready-mix concrete C25/30;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on a71e60a5-b64b-4715-ae8a-c8c8819149d2 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a71e60a5-b64b-4715-ae8a-c8c8819149d2);Thailand;Ready-mix concrete C25/30;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on a71e60a5-b64b-4715-ae8a-c8c8819149d2 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a71e60a5-b64b-4715-ae8a-c8c8819149d2);Vietnam;Ready-mix concrete C25/30;m3;D
Ready mixed concrete;3;GFA-HEAT;generic;Created based on d6f982e3-beda-49f0-a298-694fcbf3ba38 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d6f982e3-beda-49f0-a298-694fcbf3ba38);Cambodia;Ready-mix concrete C30/37;m3;G
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/a758fb6a-7fb1-4cdc-b652-c42cf2f7632c;official;;Germany;Ready-mix concrete C30/37;m3;E
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/258b377e-ec3b-4e8c-b3fd-dda1eb370f7d;official;;Germany;Ready-mix concrete C30/37;m3;E
Ready mixed concrete;3;GFA-HEAT;generic;Created based on d6f982e3-beda-49f0-a298-694fcbf3ba38 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d6f982e3-beda-49f0-a298-694fcbf3ba38);India;Ready-mix concrete C30/37;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on d6f982e3-beda-49f0-a298-694fcbf3ba38 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d6f982e3-beda-49f0-a298-694fcbf3ba38);Indonesia;Ready-mix concrete C30/37;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on d6f982e3-beda-49f0-a298-694fcbf3ba38 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d6f982e3-beda-49f0-a298-694fcbf3ba38);Thailand;Ready-mix concrete C30/37;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on d6f982e3-beda-49f0-a298-694fcbf3ba38 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d6f982e3-beda-49f0-a298-694fcbf3ba38);Vietnam;Ready-mix concrete C30/37;m3;E
Ready mixed concrete;3;GFA-HEAT;generic;Created based on 0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b);Cambodia;Ready-mix concrete C50/60;m3;G
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/079ed601-8b92-49cd-9c09-ab8e067366cf;official;;Germany;Ready-mix concrete C50/60;m3;D
Ready mixed concrete;3;GFA-HEAT;generic;Created based on 0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b);India;Ready-mix concrete C50/60;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on 0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b);Indonesia;Ready-mix concrete C50/60;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on 0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b);Thailand;Ready-mix concrete C50/60;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on 0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b);Vietnam;Ready-mix concrete C50/60;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/899ad6d2-c598-4831-bc0a-8638aa034a69;official;;Germany;Recycling ready- mix concrete C25/30;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/5c89cce2-688c-4fed-aa02-eda80ffba5f7;official;;Germany;Recycling ready- mix concrete C50/60;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/6739667a-49d1-4a9c-a4b2-eb542167710c;official;;Germany;Recycling ready-mix concrete C20/25;m3;E
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/b38f2dac-fa08-4a9c-ae8d-017f6e2f169f;official;;Germany;Recycling ready-mix concrete C30/37;m3;E
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/e5936a83-c5ec-4902-a4d4-202fae5382ad;official;;Germany;Rohr- und Schachtsysteme aus Beton - Betonwerk Bieren GmbH - C40/50 sofort entschalt;kg;C
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/7180425d-0e35-47f5-84d9-cbf39486b411;official;;Germany;Structural concrete M6582A09 (C30/37, F4, 16, XC4, XF1, XA1, XD1, WA, slow);m3;D
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/75db1c10-6002-4fa2-9cc9-aae4fb7e8345;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Balve, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/cb928d86-f997-495b-81ad-9fa5f37ccc86;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M EcoPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Dortmund-Schüren, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/bb6970aa-9d71-430f-8b81-930b9fe467c8;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M EcoPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Frankfurt, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/dbbd0cb2-5244-42b6-b5ab-8a00ca54aec7;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M Ecopact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Herne, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/335241f9-db84-486c-9a19-cd5ebb791903;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Lüdenscheid-Freisenberg, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/7503bc8c-e613-4c10-9014-c08d9d0cc55d;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M EcoPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Lünen, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/8b65af4e-4aa6-4ce2-bb6c-59b42e9d4b6a;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M EcoPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Mainz, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/309ff917-b087-4680-ab76-e831422717c5;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Plettenberg, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/340c97e3-6e7e-4478-bccc-34200a986045;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Radevormwald, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/54ba3ec4-d013-4a08-a0ad-e0a8ac2486bb;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHFS Version 1, Transportbetonwerk Wuppertal-Elberfeld, Germany;m3;C
