level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;description;source;name;declared_unit;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3 [kgCo2e];gwp_c4 [kgCo2e];gwp_d [kgCo2e]
1;Mineral building products;1.4;Mortar and Concrete;1.4.02;Mortar (masonry);IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Lime mortar ;kg;;2200.0;;;1.6;;;;0.43;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.04;Renders and plasters;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Mud plaster ;kg;;1000.0;;;0.46;;;;-0.029;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.08;Byproducts from power plant;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;PFA ;kg;;;;;0.64;;;;0.064;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.08;Byproducts from power plant;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;PFA (pulverized fuel ash)/fly ash cement (also known as pozzolana) ;kg;;;;;4.6;;;;0.64;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.08;Byproducts from power plant;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;PFA stabilized soil block ;kg;;2000.0;;;0.11;;;;0.01;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.06;Stoneware;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Polished stone cladding ;kg;;;120.0;;3.7;;;;0.31;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.08;Byproducts from power plant;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Portland slag cement ;kg;;;;;4.9;;;;0.69;;;
1;Mineral building products;1.2;Concrete aggregates;1.2.08;Byproducts from power plant;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Portland slag cement stabilized soil blocks ;kg;;2000.0;;;0.55;;;;0.073;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.05;Precast concrete elements and goods;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Precast concrete panels/flooring ;kg;;2200.0;;;2.6;;;;0.27;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.17;Air-dried brick (adobe);IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Rammed earth ;kg;;1900.0;;;2.0;;;;-0.0084;;;
